mean_RCQ,mean_WWD,mean_RD,mean_WSP,mean_SQ,skill_diversity,size,control
3.2,4.584615384615384,16.2,0.23076923076923078,2.4,0.8333333333333334,5,False
3.1666666666666665,4.564102564102565,11.6,0.2307692307692308,3.5,0.6666666666666666,6,False
3.0,4.692307692307692,14.4,0.23076923076923078,3.2,0.5625,5,False
3.0,4.88034188034188,6.555555555555555,0.23076923076923078,2.888888888888889,0.5,9,False
3.2,5.0,1.6,0.23076923076923078,2.8,0.7857142857142857,5,False
3.4,4.692307692307692,9.8,0.23076923076923078,3.0,0.6666666666666666,5,False
4.0,4.730769230769231,13.0,0.11538461538461539,5.0,0.8,2,False
4.0,4.8,8.8,0.23076923076923078,2.6,0.6923076923076923,5,False
4.0,5.0,4.0,0.23076923076923078,3.0,0.8333333333333334,2,False
3.75,4.730769230769231,9.0,0.23076923076923078,2.25,0.7777777777777778,4,False
4.0,4.230769230769231,22.0,0.11538461538461539,3.5,1.0,2,False
3.75,4.730769230769231,7.666666666666667,0.23076923076923078,3.25,0.6923076923076923,4,False
3.375,4.8076923076923075,10.071428571428571,0.20192307692307693,2.5,0.5,8,False
3.0,4.417582417582418,14.095238095238095,0.2307692307692308,2.7142857142857144,0.5263157894736842,7,False
3.2,4.2,15.8,0.18461538461538463,4.0,0.7,5,False
3.5,4.365384615384615,16.5,0.23076923076923078,2.25,0.8888888888888888,4,False
4.0,5.0,2.6666666666666665,0.23076923076923078,3.25,0.8461538461538461,4,False
3.0,4.91025641025641,8.333333333333334,0.2307692307692308,2.3333333333333335,0.7142857142857143,6,False
2.8333333333333335,4.666666666666667,14.266666666666667,0.2307692307692308,2.8333333333333335,0.6470588235294118,6,False
4.0,5.0,2.6666666666666665,0.23076923076923075,3.0,0.6666666666666666,3,False
3.75,4.865384615384615,6.166666666666667,0.23076923076923078,2.75,0.9090909090909091,4,False
4.0,4.564102564102565,12.266666666666667,0.2307692307692308,2.1666666666666665,0.7692307692307693,6,False
3.4,4.492307692307692,15.2,0.23076923076923078,2.4,0.9166666666666666,5,False
3.8333333333333335,4.833333333333333,9.4,0.2307692307692308,2.8333333333333335,0.6470588235294118,6,False
3.5,4.730769230769231,9.0,0.23076923076923078,2.0,1.0,2,False
3.3333333333333335,4.833333333333333,9.933333333333334,0.19230769230769232,4.166666666666667,0.52,6,False
2.875,4.875,5.821428571428571,0.23076923076923078,3.375,0.5185185185185185,8,False
4.0,5.0,2.6666666666666665,0.23076923076923075,3.6666666666666665,0.6363636363636364,3,False
2.6666666666666665,5.0,2.0,0.23076923076923075,1.6666666666666667,1.0,3,False
3.2857142857142856,4.637362637362637,12.19047619047619,0.2307692307692308,3.142857142857143,0.5,7,False
3.25,4.6826923076923075,10.75,0.20192307692307693,3.125,0.52,8,False
3.3333333333333335,5.0,4.0,0.15384615384615385,3.3333333333333335,0.8,3,False
3.3333333333333335,4.333333333333333,20.666666666666668,0.15384615384615385,2.6666666666666665,0.75,3,False
3.5,4.730769230769231,11.0,0.23076923076923078,3.0,0.8333333333333334,2,False
3.5,4.730769230769231,9.333333333333334,0.23076923076923078,1.75,1.0,4,False
3.8333333333333335,4.487179487179486,14.133333333333333,0.2307692307692308,3.1666666666666665,0.631578947368421,6,False
3.3,4.438461538461539,16.644444444444446,0.23076923076923078,2.5,0.48,10,False
3.3333333333333335,4.666666666666667,9.733333333333333,0.2307692307692308,2.5,0.5333333333333333,6,False
3.5,5.0,2.6666666666666665,0.23076923076923078,3.5,0.7142857142857143,4,False
3.4,4.476923076923077,13.4,0.18461538461538463,4.2,0.6666666666666666,5,False
4.0,4.461538461538462,,0.23076923076923078,3.0,1.0,1,False
3.6,4.692307692307692,11.4,0.23076923076923078,3.4,0.5882352941176471,5,False
3.2,5.0,2.4,0.23076923076923078,2.8,0.7142857142857143,5,False
3.5,4.365384615384615,17.5,0.17307692307692307,2.5,1.0,4,False
4.0,5.0,,0.23076923076923078,2.0,1.0,1,False
3.75,4.615384615384615,16.666666666666668,0.23076923076923078,2.75,0.8181818181818182,4,False
3.5,4.75,8.833333333333334,0.23076923076923078,3.0,0.5833333333333334,4,False
3.75,4.865384615384615,5.833333333333333,0.23076923076923078,4.5,0.7222222222222222,4,False
3.2,4.692307692307692,10.4,0.23076923076923078,3.0,0.6,5,False
3.125,4.538461538461538,13.285714285714286,0.23076923076923078,2.125,0.6470588235294118,8,False
3.3333333333333335,4.3076923076923075,16.666666666666668,0.23076923076923075,1.6666666666666667,1.0,3,False
3.6666666666666665,4.82051282051282,8.0,0.23076923076923075,3.0,0.6666666666666666,3,False
3.3333333333333335,4.82051282051282,7.333333333333333,0.23076923076923075,2.6666666666666665,0.625,3,False
3.4,4.476923076923077,13.2,0.23076923076923078,3.0,0.8,5,False
4.0,4.0,,0.23076923076923078,2.0,1.0,1,False
4.0,4.8,11.4,0.23076923076923078,3.0,0.6,5,False
4.0,4.397435897435898,16.2,0.19230769230769232,2.5,0.6,6,False
3.4285714285714284,5.0,2.380952380952381,0.2307692307692308,2.4285714285714284,0.6470588235294118,7,False
4.0,5.0,0.0,0.23076923076923078,2.0,1.0,2,False
3.3333333333333335,4.82051282051282,8.666666666666666,0.23076923076923075,2.6666666666666665,0.875,3,False
3.3333333333333335,4.487179487179487,14.666666666666666,0.23076923076923075,4.666666666666667,0.7142857142857143,3,False
3.5,4.615384615384615,11.333333333333334,0.23076923076923078,2.5,0.9,4,False
3.25,4.9326923076923075,3.3214285714285716,0.23076923076923078,3.5,0.5357142857142857,8,False
3.25,4.5576923076923075,13.428571428571429,0.20192307692307693,3.375,0.5185185185185185,8,False
3.75,4.75,8.833333333333334,0.23076923076923078,3.0,0.8333333333333334,4,False
3.75,4.365384615384615,18.166666666666668,0.17307692307692307,3.5,0.7142857142857143,4,False
3.3333333333333335,4.641025641025641,10.0,0.15384615384615385,4.666666666666667,0.8571428571428571,3,False
3.3,4.9,7.666666666666667,0.18461538461538463,3.6,0.3888888888888889,10,False
3.375,4.3076923076923075,15.785714285714286,0.23076923076923078,3.375,0.48148148148148145,8,False
3.5714285714285716,4.703296703296703,10.285714285714286,0.2307692307692308,1.8571428571428572,0.6923076923076923,7,False
4.0,4.666666666666667,11.333333333333334,0.23076923076923075,3.6666666666666665,0.9090909090909091,3,False
3.3333333333333335,4.743589743589744,12.0,0.2307692307692308,2.5,0.6666666666666666,6,False
4.0,5.0,,0.23076923076923078,5.0,1.0,1,False
4.0,5.0,6.0,0.11538461538461539,5.0,0.9,2,False
3.25,4.5,15.0,0.11538461538461539,4.75,0.631578947368421,4,False
